date,content,hashtags,like_count,rt_count,followers_count,isVerified,language,coordinates,place,source,cleaned_content,Class
2023-02-21 03:29:07+00:00,New search &amp; rescue work is in progress in #Hatay after two more #earthquakes hit #Türkiye’s southeastern province.  #TurkiyeQuakes #Turkey-#Syria  #Earthquake #turkeyearthquake2023  https://t.co/sd4WHByiQs,"['Hatay', 'earthquakes', 'Türkiye', 'TurkiyeQuakes', 'Turkey', 'Syria', 'Earthquake', 'turkeyearthquake2023']",1,0,5697,True,en,,,Twitter Web App,new search amp rescu work progress hatay two earthquak hit trkiy southeastern provinc turkiyequak turkeysyria earthquak turkeyearthquak,Infrastructure damage
2023-02-21 03:29:04+00:00,Can't imagine those who still haven't recovered from the previous tragedy &amp; lost a lot but now having to face another disaster. #Turkey 🇹🇷 just got hit by another 6.4 magnitude earthquake. May Allah have mercy on us. Ya Allah reham🙏🏻 #earthquake #turkeyearthquake2023 #IftiMania https://t.co/mGPCiHXTga,"['Turkey', 'earthquake', 'turkeyearthquake2023', 'IftiMania']",0,0,1,False,en,,,Twitter for Android,cant imagin still havent recov previou tragedi amp lost lot face anoth disast turkey got hit anoth magnitud earthquak may allah merci us ya allah reham earthquak turkeyearthquak iftimania,Survivor stories
2023-02-21 03:28:06+00:00,its a highkey sign for all of us to ponder over our actions and return to the All Merciful #turkeyearthquake2023 #earthquake #Syria https://t.co/bjHAml4r2w,"['turkeyearthquake2023', 'earthquake', 'Syria']",0,0,3,False,en,,,Twitter for Android,highkey sign us ponder action return merci turkeyearthquak earthquak syria,Political response
2023-02-21 03:27:27+00:00,"See how strong was the #Earthquake of Feb 20, 2023 in #Hatay,  #Turkey. Many people are living out of temporary shelters and even cars since Feb 6 #turkeyearthquake2023 https://t.co/SdJXLY3Y7M https://t.co/H794ZrXx6A","['Earthquake', 'Hatay', 'Turkey', 'turkeyearthquake2023']",0,0,21836,True,en,,,Twitter for Android,see strong earthquak feb hatay turkey mani peopl live temporari shelter even car sinc feb turkeyearthquak,Survivor stories
2023-02-21 03:27:11+00:00,More difficult news today on top of struggles already facing so many communities after initial #Türkiye #Syria #earthquake. Many more fragile buildings likely still to come down. Members of @humcoalition are responding. #Canadians can help at https://t.co/lFZqzC5Fj0 https://t.co/fVApg9Nkdc,"['Türkiye', 'Syria', 'earthquake', 'Canadians']",1,0,675,False,en,,,Twitter for iPhone,difficult news today top struggl alreadi face mani commun initi trkiy syria earthquak mani fragil build like still come member respond canadian help,Help
2023-02-21 03:26:30+00:00,another #earthquake in southern #Turkey.   https://t.co/YDMsNoGyXV,"['earthquake', 'Turkey']",0,0,33,False,en,,,Twitter Web App,anoth earthquak southern turkey,Uncategorized
2023-02-21 03:26:18+00:00,Three people are now confirmed to have died after a 6.4-magnitude #earthquake struck southern #Turkey on Monday. #turkeyearthquake2023   https://t.co/ug5SwJxxBO,"['earthquake', 'Turkey', 'turkeyearthquake2023']",0,0,4160,False,en,,,Twitter Web App,three peopl confirm die magnitud earthquak struck southern turkey monday turkeyearthquak,Help
2023-02-21 03:26:11+00:00,6.4 magnitude quake shakes Turkey -Syria border 2 weeks after 1st disaster #Earthquake #turkey https://t.co/wY1klEa5qK,"['Earthquake', 'turkey']",0,0,904,False,en,,,Hocalwire Social Share,magnitud quak shake turkey syria border week st disast earthquak turkey,Uncategorized
2023-02-21 03:25:13+00:00,"new 6.3 #earthquake hits #Turkey, #Syria border killing 3 and trapping people under rubble.","['earthquake', 'Turkey', 'Syria']",1,0,33,False,en,,,Twitter Web App,new earthquak hit turkey syria border kill trap peopl rubbl,Uncategorized
2023-02-21 03:25:12+00:00,How the latest #earthquake in #Turkey will impact #disaster #recovery efforts. https://t.co/ngrPEu6BHl,"['earthquake', 'Turkey', 'disaster', 'recovery']",1,0,13636,False,en,,,Hootsuite Inc.,latest earthquak turkey impact disast recoveri effort,Survivor stories
2023-02-21 03:24:33+00:00,"No Indian #Media Will Show You Such Postive News, the great, noble qualities of #PMModi led @BJP4India Govt that is not secular in words but in service to humanity. See how the Foreign Minister of #Syria is heaping praise on @narendramodi Govt during #earthquake. @socialmediabjp https://t.co/XroyVVQSFW","['Media', 'PMModi', 'Syria', 'earthquake']",2,1,2135,False,en,,,Twitter for Android,indian media show postiv news great nobl qualiti pmmodi led govt secular word servic human see foreign minist syria heap prais govt earthquak,Survivor stories
2023-02-21 03:23:29+00:00,A camera captured the moment a car shook violently as a 6.4-magnitude earthquake struck Türkiye’s southern Hatay province  #TurkiyeQuakes #Turkey-#Syria  #Earthquake #turkeyearthquake2023 https://t.co/nxeuHaUHEu,"['TurkiyeQuakes', 'Turkey', 'Syria', 'Earthquake', 'turkeyearthquake2023']",3,2,5697,True,en,,,Twitter Web App,camera captur moment car shook violent magnitud earthquak struck trkiy southern hatay provinc turkiyequak turkeysyria earthquak turkeyearthquak,Uncategorized
2023-02-21 03:22:23+00:00,The pain in this voice will shake you deep inside. Allah please have mercy on us.  Deadly New Quakes of 6.4 and 5.8 Magnitude again shake #Turkey-#Syria  #Earthquake #turkeyearthquake2023 https://t.co/OtPtoJ96St,"['Turkey', 'Syria', 'Earthquake', 'turkeyearthquake2023']",5,2,5697,True,en,,,Twitter Web App,pain voic shake deep insid allah pleas merci us deadli new quak magnitud shake turkeysyria earthquak turkeyearthquak,Uncategorized
2023-02-21 03:20:52+00:00,"@kcautv: New quake hits battered Turkey, Syria; 3 dead, hundreds hurt || https://t.co/lYEpjYZljT  #ForMoreNEWS╰▶ #Syria #Earthquake ✔️","['ForMoreNEWS', 'Syria', 'Earthquake']",0,0,741,False,en,,,Twitter for Android,new quak hit batter turkey syria dead hundr hurt formorenew syria earthquak,Casualty reports
2023-02-21 03:19:42+00:00,"Monday’s #earthquake, this time with a magnitude of 6.4, was centred near the southern Turkish city of Antakya and was felt in #Syria, Egypt and Lebanon   #TurkeySyriaEarthquake  https://t.co/ds0r2N0JGB","['earthquake', 'Syria', 'TurkeySyriaEarthquake']",0,0,809020,True,en,,,TweetDeck,monday earthquak time magnitud centr near southern turkish citi antakya felt syria egypt lebanon turkeysyriaearthquak,Uncategorized
2023-02-21 03:18:34+00:00,New earthquake happened in Turkey #earthquake #Turkey #turkeyearthquake2023 https://t.co/AMcuDkuomm,"['earthquake', 'Turkey', 'turkeyearthquake2023']",1,0,13,False,en,,,Twitter for Android,new earthquak happen turkey earthquak turkey turkeyearthquak,Uncategorized
2023-02-21 03:14:38+00:00,#Earthquake (#deprem) M3.9 strikes 38 km SE of #Malatya (#Turkey) 2 min ago. More info: https://t.co/bEjDoTyfZy,"['Earthquake', 'deprem', 'Malatya', 'Turkey']",0,0,46223,False,en,,,emsc-csem,earthquak deprem strike km se malatya turkey min ago info,Uncategorized
2023-02-21 03:11:53+00:00,Heartbroken to hear of the second #earthquake that just hit #turkey again.   Our thoughts and prayers are with you.   https://t.co/vNvVMMqPJN,"['earthquake', 'turkey']",2,1,89359,True,en,,,Hootsuite Inc.,heartbroken hear second earthquak hit turkey thought prayer,Prayer and condolences
2023-02-21 03:11:38+00:00,20 Feb 2023 - #Magnitude M6.5 #earthquake in #Turkey (#Turkiye) again (Typo in my last tweet) https://t.co/UBKvP4UDAQ,"['Magnitude', 'earthquake', 'Turkey', 'Turkiye']",2,0,44,False,en,,,TweetDeck Web App,feb magnitud earthquak turkey turkiy typo last tweet,Casualty reports
2023-02-21 03:10:46+00:00,Egypt sends aid ship to quake victims carrying relief aid arrived at #Latakia port in #Syria on Monday for the victims of the 6 February #earthquake disaster that #killed thousands. #هزة_أرضية  #Turkey #rescue #Hatay https://t.co/YdxRJbM4fR,"['Latakia', 'Syria', 'earthquake', 'killed', 'هزة_أرضية', 'Turkey', 'rescue', 'Hatay']",1,0,0,False,en,,,Twitter for Android,egypt send aid ship quak victim carri relief aid arriv latakia port syria monday victim februari earthquak disast kill thousand turkey rescu hatay,Help
